,Provincia,Partido,Localidad,Población,ADSL,Cablemódem,Dial Up,Fibra óptica,Satelital,Wireless,Telefonía Fija,3G,4G,Link,Latitud,Longitud
102,Mendoza,Rivadavia,Barrio Cooperativa Los Campamentos,267,False,False,False,False,False,True,False,False,False,50084020.0,-33.2692489302548,-68.4383631651486
103,Mendoza,Rivadavia,Barrio Rivadavia,408,False,False,False,False,True,True,False,False,False,50084030.0,-33.2304643070476,-68.4837256054182
104,Mendoza,Rivadavia,Cuadro Ortega,0,False,False,False,False,False,False,False,True,False,50084110.0,-33.282949271283,-68.4657441362603
105,Mendoza,Rivadavia,El Mirador,783,False,False,False,True,False,True,False,False,False,50084040.0,-33.2906467543213,-68.3475556585345
106,Mendoza,Rivadavia,La Central,802,False,False,False,False,False,True,False,True,True,50084050.0,-33.2736424903477,-68.3224073182181
107,Mendoza,Rivadavia,La Esperanza,200,False,False,False,False,False,True,False,False,False,50084060.0,-33.3170659709211,-68.3343426790403
108,Mendoza,Rivadavia,La Florida,1518,False,False,False,False,False,True,False,False,False,50084070.0,-33.2827922646265,-68.4657172961175
109,Mendoza,Rivadavia,La Libertad,582,False,False,False,False,False,True,False,False,False,50084080.0,-33.2163869013321,-68.5166268853637
110,Mendoza,Rivadavia,Los Árboles,362,False,False,False,False,False,True,False,False,False,50084090.0,-33.1813162523339,-68.5759160345244
111,Mendoza,Rivadavia,Los Campamentos,1062,False,False,False,False,False,True,True,False,False,50084100.0,-33.2763607628549,-68.4008493516637
112,Mendoza,Rivadavia,Medrano,1598,False,False,True,False,False,True,True,True,True,50084110.0,-33.1787463382932,-68.6219271508795
113,Mendoza,Rivadavia,Mundo Nuevo,295,False,False,False,False,False,True,False,True,True,50084120.0,-33.1753415989261,-68.4371725862256
114,Mendoza,Rivadavia,Reducción de Abajo,490,False,False,False,False,False,True,True,False,False,50084130.0,-33.2063088772501,-68.5835152115814
115,San Juan,Albardón,El Rincón,1252,True,False,True,False,False,True,True,True,True,70007010.0,-31.4480943761332,-68.5425141343624
116,San Juan,Albardón,La Cañada,0,False,False,False,False,False,False,False,False,False,70007010.0,-31.4475643930837,-68.4817213288378
117,San Juan,Albardón,Villa Ampacama,0,False,False,False,False,False,False,False,False,False,70007010.0,-31.3864085743851,-68.4572411115084
118,San Juan,Albardón,Villa General San Martin,0,False,False,False,False,False,True,False,False,False,70007010.0,-31.421071066377,-68.4907605706737
119,San Juan,Albardón,Villa General San Martín - Campo Afuera,22046,False,False,False,False,False,True,False,False,False,70007020.0,-31.421071066377,-68.4907605706737
