Fecha,Año,Trimestre,Provincia,Otros,veloc_muyBaja,veloc_baja,veloc_media,veloc_alta,veloc_muyAlta
2022-04-01,2022,2,Salta,6494,11169,96868,7183,76969,4494
2022-04-01,2022,2,San Juan,11617,14949,28763,38448,6617,13
2022-04-01,2022,2,San Luis,14815,1717,26706,78492,8,0
2022-04-01,2022,2,Santa Cruz,644,12051,18559,14346,3585,0
2022-04-01,2022,2,Santa Fe,17584,61600,293540,132390,354539,19204
2022-04-01,2022,2,Santiago Del Estero,792,13587,77504,15489,10165,507
2022-04-01,2022,2,Tierra Del Fuego,3351,862,26871,21715,937,34
2022-04-01,2022,2,Tucumán,281,11353,68855,28496,139923,5618
2022-01-01,2022,1,Buenos Aires,26280,151901,544884,1131368,2429694,271267
2022-01-01,2022,1,Capital Federal,1717,11811,111599,154317,980387,157650
2022-01-01,2022,1,Catamarca,2207,2213,9709,12534,34341,1374
2022-01-01,2022,1,Chaco,7580,7007,32315,33921,59395,3540
2022-01-01,2022,1,Chubut,15607,26253,68762,47564,13416,26
2022-01-01,2022,1,Córdoba,13104,67149,237664,108993,550359,26533
2022-01-01,2022,1,Corrientes,7094,14642,39682,37543,40517,3100
2022-01-01,2022,1,Entre Ríos,16750,22043,83504,63890,77598,4141
2022-01-01,2022,1,Formosa,588,12524,19079,7333,14110,914
2022-01-01,2022,1,Jujuy,2442,11247,29034,38499,34583,703
2022-01-01,2022,1,La Pampa,2833,14339,60866,17300,14347,47
2022-01-01,2022,1,La Rioja,0,1760,7304,29271,45473,495
2022-01-01,2022,1,Mendoza,3287,13173,67933,133776,55451,1565
2022-01-01,2022,1,Misiones,8349,20630,41210,42728,51792,6799
2022-01-01,2022,1,Neuquén,7885,9860,46879,25115,55535,4397
2022-01-01,2022,1,Río Negro,22652,11272,44651,43363,33437,1999
2022-01-01,2022,1,Salta,6489,12723,92938,8542,73220,3603
2022-01-01,2022,1,San Juan,2465,15274,31291,36962,2173,13
2022-01-01,2022,1,San Luis,28589,2336,10492,78419,2,0
2022-01-01,2022,1,Santa Cruz,485,12159,19002,14916,2540,0
2022-01-01,2022,1,Santa Fe,18444,64120,300940,142956,328503,15512
2022-01-01,2022,1,Santiago Del Estero,792,13642,79327,14391,7961,348
2022-01-01,2022,1,Tierra Del Fuego,2421,927,28480,19831,922,30
2022-01-01,2022,1,Tucumán,273,11571,73669,26224,129544,4302
2021-10-01,2021,4,Buenos Aires,22958,163272,569817,1146552,2368212,238329
2021-10-01,2021,4,Capital Federal,0,12719,118571,181068,962013,137718
2021-10-01,2021,4,Catamarca,2233,2422,11542,13066,28838,989
2021-10-01,2021,4,Chaco,7585,7340,34395,35640,55560,2864
2021-10-01,2021,4,Chubut,15763,28244,76442,37477,2381,1
2021-10-01,2021,4,Córdoba,12607,70609,247410,117578,516853,21712
2021-10-01,2021,4,Corrientes,7082,15018,40892,33023,37379,2518
2021-10-01,2021,4,Entre Ríos,16583,24536,84274,62381,73889,3383
2021-10-01,2021,4,Formosa,1967,11943,18032,7950,13042,729
2021-10-01,2021,4,Jujuy,2324,10389,29083,38698,32786,633
2021-10-01,2021,4,La Pampa,3027,13898,60818,17086,12141,37
2021-10-01,2021,4,La Rioja,0,1996,8478,29232,42987,435
2021-10-01,2021,4,Mendoza,366,16104,82251,126439,41162,1264
2021-10-01,2021,4,Misiones,8335,21932,43594,42694,48471,6102
2021-10-01,2021,4,Neuquén,7767,11528,45129,24876,54786,3376
2021-10-01,2021,4,Río Negro,22645,11508,48073,37039,33263,1225
2021-10-01,2021,4,Salta,6475,15642,94489,10192,69690,2917
2021-10-01,2021,4,San Juan,4435,8871,32476,33911,265,0
2021-10-01,2021,4,San Luis,29218,2382,10770,76475,1,0
2021-10-01,2021,4,Santa Cruz,491,12645,19650,14838,862,0
2021-10-01,2021,4,Santa Fe,18777,71644,305966,148190,310075,11787
2021-10-01,2021,4,Santiago Del Estero,793,13950,80576,13005,7217,320
2021-10-01,2021,4,Tierra Del Fuego,2580,420,30030,18347,955,25
2021-10-01,2021,4,Tucumán,240,10552,75641,26349,122072,3784
2021-07-01,2021,3,Buenos Aires,9728,197822,1227613,335244,2273243,206832
2021-07-01,2021,3,Capital Federal,0,11955,212934,114565,950552,123369
2021-07-01,2021,3,Catamarca,2206,2728,12526,12176,25848,770
2021-07-01,2021,3,Chaco,7958,9560,34023,38275,47290,2386
